state_name,state_code,mw,mw_tip_sm,mw_tip_lg,eat_no,eat_jobs,eat_food_jobs,eat_sales
Alabama,AL,0,2.13,2.13,8147,161800,196600,8.1
Alaska,AK,9.89,9.89,9.89,1406,21700,31200,1.6
Arizona,AZ,11,8,8,9310,223500,309200,12
Arkansas,AR,9.25,2.63,2.63,5054,93300,122200,4.4
California,CA,12,11,12,72387,1375200,1769100,82.2
Colorado,CO,11.1,8.08,8.08,11526,225100,281300,12.1
Connecticut,CT,10.1,6.38,6.38,7941,115200,157000,7.5
District_Columbia,DC,13.25,3.89,3.89,2267,51900,68900,3.8
Delaware,DE,8.75,2.23,2.23,1922,36100,48000,2
Florida,FL,8.46,5.44,5.44,40001,770100,1054000,41.7
Georgia,GA,7.25,2.13,2.13,18534,375600,476500,19.6
Hawaii,HI,10.1,9.35,9.35,3483,66100,96000,4.6
Idaho,ID,7.25,3.35,3.35,3238,53000,69300,2.3
Illinois,IL,8.25,4.95,4.95,26086,454700,577000,25.2
Indiana,IN,7.25,2.13,2.13,11787,243200,319800,11.6
Iowa,IA,7.25,4.35,4.35,6175,101300,155500,4.4
Kansas,KS,7.25,2.13,2.13,5199,99700,135900,4.8
Kentucky,KY,7.25,2.13,2.13,7679,156400,202200,7.9
Louisiana,LA,0,2.13,2.13,8762,168200,216600,8.9
Maine,ME,11,5.5,5.5,3188,44500,62700,2.3
Maryland,MD,10.1,3.63,3.63,11250,201300,246200,12.1
Massachusetts,MA,12,3.75,3.75,15617,266000,334900,17
Michigan,MI,9.25,3.59,3.59,16198,332600,440600,15.9
Minnesota,MN,9.86,8.04,9.86,9852,195000,274100,9.7
Mississippi,MS,0,2.13,2.13,4719,93900,119300,4.5
Missouri,MO,8.6,4.3,4.3,10907,226300,314000,10.5
Montana,MT,8.5,4,8.5,2669,39900,57300,1.8
Nebraska,NE,9,2.13,2.13,4086,68100,93900,3
Nevada,NV,8.25,7.25,8.25,5869,122400,209900,7.2
New_Hampshire,NH,7.25,3.26,3.26,3107,48800,66900,2.7
New_Jersey,NJ,8.85,2.13,2.13,18337,256400,349900,16.3
New_Mexico,NM,7.5,2.13,2.13,3344,71200,95800,3.4
New_York,NY,11.1,7.5,7.5,44910,653400,847600,43.3
North_Carolina,NC,7.25,2.13,2.13,18318,368100,482300,18.6
North_Dakota,ND,7.25,4.86,4.86,1697,27800,39800,1.3
Ohio,OH,8.55,4.3,4.3,22130,436800,583900,20.9
Oklahoma,OK,7.25,2.13,2.13,6692,133300,180500,6.6
Oregon,OR,10.75,10.75,10.75,9923,149700,197400,7.8
Pennsylvania,PA,7.25,2.83,2.83,25846,402400,582800,21.5
Rhode_Island,RI,10.5,3.89,3.89,2805,44000,58900,2.4
South_Carolina,SC,0,2.13,2.13,8977,187500,224700,9.4
South_Dakota,SD,9.1,4.55,4.55,1848,31400,48400,1.3
Tennessee,TN,0,2.13,2.13,10946,248300,313100,12.2
Texas,TX,7.25,2.13,2.13,45418,1035500,1315800,54.1
Utah,UT,7.25,2.13,2.13,4862,95400,127000,4.6
Vermont,VT,10.78,5.39,5.39,1399,20300,31300,1
Virginia,VA,7.25,2.13,2.13,15129,296000,379900,16.8
Washington,WA,12,12,12,15282,239800,326400,13.5
West_Virginia,WV,8.75,2.62,2.62,3228,54000,73800,2.8
Wisconsin,WI,7.25,2.33,2.33,12398,204900,280500,8.6
Wyoming,WY,7.25,2.13,2.13,1305,20500,29100,1
